dist_m,lat,lon,elev_ft_navd88
0,41.896427,-70.010916,28.1331178950104
8.5,41.896403,-70.010818,28.054840254710243
17.0,41.896378,-70.010721,28.15282966729472
25.6,41.896354,-70.010623,28.33148716645008
34.1,41.89633,-70.010526,28.89999659737204
42.6,41.896305,-70.010429,28.971772482214796
51.1,41.896281,-70.010331,28.849956854957117
59.7,41.896256,-70.010233,28.98796116711604
68.2,41.896232,-70.010136,29.143299324974
76.7,41.896208,-70.010039,29.5264148392022
85.2,41.896183,-70.009941,30.305014224353602
93.7,41.896159,-70.009844,30.36397120130584
98.6,41.896145,-70.009788,30.087264840745203
107.6,41.896122,-70.009684,29.23583827478564
116.6,41.896098,-70.00958,27.47577407148196
125.6,41.896075,-70.009477,25.91181854243276
134.5,41.896052,-70.009373,24.13235388575236
143.5,41.896028,-70.009269,22.359284606573198
152.5,41.896005,-70.009165,20.867258272739118
161.5,41.896006,-70.009056,20.28023385434804
170.6,41.896006,-70.008947,18.151766000804
179.6,41.896007,-70.008838,14.7414352978414
189.3,41.895978,-70.008728,11.31775768828372
198.9,41.895949,-70.008618,9.2698288563458
208.6,41.89592,-70.008508,7.8038776020862795
219.2,41.895885,-70.008389,7.37362200760944
229.8,41.895849,-70.00827,7.0510200681523205
241.1,41.895804,-70.008148,6.62117435557836
251.0,41.895758,-70.008047,6.36761720507608
260.0,41.895712,-70.007957,6.21980002842992
269.1,41.895667,-70.007866,6.105804575307
278.1,41.895621,-70.007776,6.04133808374276
287.0,41.89558,-70.007684,5.92233177416028
295.8,41.895538,-70.007593,5.92325204649944
304.7,41.895497,-70.007502,5.90503039237304
313.6,41.895455,-70.00741,5.93106635777312
322.5,41.895413,-70.007319,5.8846052408008
330.9,41.895373,-70.007233,5.87191343921356
339.3,41.895333,-70.007147,5.7104548546505605
347.7,41.895293,-70.007061,5.7030359534945205
356.1,41.895253,-70.006975,5.56051397058736
367.3,41.895199,-70.00686,5.53434698156104
378.6,41.895145,-70.006746,5.484558328393
386.9,41.895103,-70.006662,5.32408024911072
395.3,41.895061,-70.006579,5.24311218549612
403.6,41.895019,-70.006496,5.12889575795668
412.0,41.894976,-70.006412,4.9707858283564805
420.3,41.894934,-70.006329,4.91970613184004
428.7,41.894892,-70.006246,4.91098445505176
437.0,41.89485,-70.006163,5.08286564165432
445.4,41.894808,-70.006079,4.991791773910561
453.7,41.894765,-70.005996,4.94478858343008
465.0,41.894709,-70.005882,4.91469253915992
476.4,41.894653,-70.005768,4.83497718884
487.9,41.894599,-70.00565,4.76556710787872
499.3,41.894546,-70.005531,4.77663972962412
508.5,41.894507,-70.005434,4.92337667001524
517.6,41.894468,-70.005336,5.1431742787548
527.6,41.894428,-70.005229,5.3117009409718
537.6,41.894387,-70.005122,5.4532185636106005
547.5,41.894347,-70.005015,5.29356102569316
555.5,41.894312,-70.00493,5.12079711596524
563.6,41.894277,-70.004845,5.0116552948874
571.6,41.894242,-70.00476,4.8556002406810395
579.6,41.894207,-70.004676,4.7045392253484
589.6,41.894164,-70.00457,4.74763017817088
599.5,41.89412,-70.004465,4.73656108004764
609.5,41.894077,-70.00436,4.668677488636519
619.5,41.894033,-70.004255,4.64020922985152
629.5,41.89399,-70.004148,4.55129700915856
639.6,41.893947,-70.004042,4.6708923246654
649.7,41.893904,-70.003935,4.651812970380321
658.2,41.893867,-70.003844,4.4596677706621195
666.8,41.893829,-70.003754,4.55767400083244
679.1,41.89377,-70.003629,5.51805543576412
689.1,41.893719,-70.003529,-1.84730835307712
699.2,41.893667,-70.003429,-2.0881390924109997
709.3,41.893615,-70.00333,5.9014075707348
721.3,41.893555,-70.00321,4.64010010911312
735.4,41.893492,-70.003062,4.22754991218448
748.5,41.893448,-70.002915,5.0169035562102
759.5,41.893424,-70.002786,5.1517610244364
769.2,41.893415,-70.00267,4.99702556344812
778.9,41.893406,-70.002553,5.0605494893654
793.3,41.893407,-70.00238,5.12953756572
803.1,41.89342,-70.002263,5.1812872261686405
814.2,41.893451,-70.002136,5.16553853800064
828.9,41.893514,-70.001979,5.34686259892112
837.2,41.893566,-70.001907,5.82790690565312
845.5,41.893618,-70.001836,6.42316294832336
853.8,41.89367,-70.001764,7.0262880529252
863.2,41.893735,-70.001692,7.31972751769584
872.7,41.893801,-70.001619,7.834481694272959
882.1,41.893866,-70.001547,8.104532982442159
894.0,41.893937,-70.00144,8.775614814940399
906.0,41.894009,-70.001332,10.521244837992159
914.6,41.894052,-70.001246,11.769341108246199
923.2,41.894094,-70.001159,12.95041422346836
931.7,41.894137,-70.001073,13.90677938530564
940.7,41.894166,-70.000973,14.60899095633284
949.6,41.894195,-70.000872,14.72055333195008
958.5,41.894224,-70.000772,14.838487620500878
967.4,41.894253,-70.000672,14.978783815935241
976.3,41.894282,-70.000572,15.288860955122802
985.2,41.894311,-70.000471,15.44975908363112
994.1,41.89434,-70.000371,15.55729149848948
1003.0,41.894383,-70.000281,15.6700131162698
1011.8,41.894426,-70.000192,15.772397004060519
1020.6,41.894469,-70.000102,15.718576041052161
1029.5,41.894511,-70.000012,15.737981186030082
1038.3,41.894554,-69.999923,15.998134350522959
1047.1,41.894597,-69.999833,16.09624891731092
1056.2,41.89465,-69.99975,16.17118494333092
1065.3,41.894703,-69.999666,16.1075253021862
1074.4,41.894756,-69.999583,15.900565764723599
1083.5,41.894809,-69.999499,15.7319550145774
1092.6,41.894862,-69.999416,15.615799482645201
